md5id,date,stationid,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h
000000b33ba8cf9f098e9439134979d0,"2015-03-18 17:00",284419e8e940dd1b76d00c9f45e721cb,115.0,29.0,37.0,56.0,32.0,1.131,1.412,54.0,90.0,50.0,85.0,138.0,182.0,87.0,72.0
0000018af83723d73eafe71e86140c44,"2015-12-08 19:00",667b620c3d7d69e8f65c19cb376219da,218.0,10.0,11.0,62.0,69.0,2.575,2.306,2.0,5.0,2.0,4.0,205.0,174.0,168.0,140.0
000002099f543a850fdb6f0bec839873,"2016-02-21 14:00",437f1de717bed15a77446f2ca7ab9bc9,60.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
000003448639889b7064ff9c4200e8cd,"2013-10-27 13:00",698021aef2993f71189e2f161a19fc61,167.0,96.0,NULL,91.0,NULL,1.664,NULL,70.0,NULL,112.375,NULL,284.0,NULL,126.0,NULL
000007aaef8329359df391aed85220b0,"2016-01-12 09:00",16050940a9a160a54b070e6f0f85fe4e,163.0,141.0,90.0,101.0,80.0,3.752,2.137,1.0,51.0,1.0,40.0,213.0,135.0,124.0,89.0
00000c006ab45eb679fc25e27fa5110b,"2014-04-11 20:00",1e031b643bc11fbc1ed97b0259747584,91.0,24.0,NULL,57.0,NULL,2.0,NULL,79.0,NULL,NULL,NULL,105.0,131.0,NULL,56.0
0000195c7171615f99bfc1f5ade2c434,"2014-04-06 16:00",7127ca83c9b6c999942291bb1d716df6,76.0,18.0,NULL,25.0,NULL,1.722,NULL,156.0,NULL,91.25,NULL,101.0,NULL,10.0,NULL
00001e7d9a525ed414d6490e2e85a415,"2016-03-23 17:00",4c56a4a8cde4881df87aff5e55781870,125.0,9.0,41.0,NULL,65.0,0.898,1.308,109.0,122.0,88.0,88.0,138.0,210.0,95.0,86.0
000025ef39f42156e6dc98a6529d10c4,"2016-01-08 06:00",f9040f8b2d392eaaaa980e9dcef5f15a,0.0,18.0,NULL,20.0,NULL,0.9,NULL,37.0,NULL,NULL,NULL,6.0,29.8125,3.0,10.76
00002616f6db7cf7ccc8a82b2107f08b,"2013-06-06 00:00",1247eeb78f397abc498abed536e33be0,47.0,27.0,NULL,8.0,NULL,1.879,NULL,74.0,NULL,78.5,NULL,36.0,NULL,33.0,NULL
000028a613130da90659bda48623d801,"2014-01-09 20:00",036d6fbe5d08c65cfede3e4837892354,78.0,24.0,NULL,53.0,NULL,1.1,NULL,24.0,NULL,48.0,NULL,62.0,NULL,57.0,NULL
